tag,model,generation,fail,pass,total,pass_pct,fail_pct
string suffix structures,gemma,gen_2,2.0,1.0,3.0,33.3,66.7
string suffix structures,gemma,gen_3,3.0,1.0,4.0,25.0,75.0
string suffix structures,human,soln1,1.0,4.0,5.0,80.0,20.0
string suffix structures,human,soln2,0.0,5.0,5.0,100.0,0.0
string suffix structures,llama,gen_1,4.0,1.0,5.0,20.0,80.0
string suffix structures,llama,gen_2,4.0,1.0,5.0,20.0,80.0
string suffix structures,llama,gen_3,4.0,1.0,5.0,20.0,80.0
string suffix structures,qwen,gen_1,5.0,0.0,5.0,0.0,100.0
string suffix structures,qwen,gen_2,4.0,0.0,4.0,0.0,100.0
string suffix structures,qwen,gen_3,5.0,0.0,5.0,0.0,100.0
strings,gemma,gen_1,25.0,9.0,34.0,26.5,73.5
strings,gemma,gen_2,24.0,10.0,34.0,29.4,70.6
strings,gemma,gen_3,20.0,11.0,31.0,35.5,64.5
strings,human,soln1,12.0,26.0,38.0,68.4,31.6
strings,human,soln2,4.0,34.0,38.0,89.5,10.5
strings,llama,gen_1,26.0,12.0,38.0,31.6,68.4
strings,llama,gen_2,26.0,12.0,38.0,31.6,68.4
strings,llama,gen_3,24.0,14.0,38.0,36.8,63.2
strings,qwen,gen_1,29.0,9.0,38.0,23.7,76.3
strings,qwen,gen_2,29.0,8.0,37.0,21.6,78.4
strings,qwen,gen_3,25.0,11.0,36.0,30.6,69.4
ternary search,gemma,gen_1,4.0,1.0,5.0,20.0,80.0
ternary search,gemma,gen_2,4.0,1.0,5.0,20.0,80.0
ternary search,gemma,gen_3,3.0,1.0,4.0,25.0,75.0
ternary search,human,soln1,3.0,3.0,6.0,50.0,50.0
ternary search,human,soln2,3.0,3.0,6.0,50.0,50.0
ternary search,llama,gen_1,5.0,1.0,6.0,16.7,83.3
ternary search,llama,gen_2,5.0,1.0,6.0,16.7,83.3
ternary search,llama,gen_3,5.0,1.0,6.0,16.7,83.3
ternary search,qwen,gen_1,6.0,0.0,6.0,0.0,100.0
ternary search,qwen,gen_2,5.0,1.0,6.0,16.7,83.3
ternary search,qwen,gen_3,5.0,0.0,5.0,0.0,100.0
trees,gemma,gen_1,32.0,3.0,35.0,8.6,91.4
trees,gemma,gen_2,31.0,3.0,34.0,8.8,91.2
trees,gemma,gen_3,28.0,5.0,33.0,15.2,84.8
trees,human,soln1,17.0,23.0,40.0,57.5,42.5
trees,human,soln2,14.0,26.0,40.0,65.0,35.0
trees,llama,gen_1,39.0,1.0,40.0,2.5,97.5
trees,llama,gen_2,35.0,1.0,36.0,2.8,97.2
trees,llama,gen_3,36.0,3.0,39.0,7.7,92.3
trees,qwen,gen_1,38.0,2.0,40.0,5.0,95.0
trees,qwen,gen_2,39.0,1.0,40.0,2.5,97.5
trees,qwen,gen_3,35.0,4.0,39.0,10.3,89.7
two pointers,gemma,gen_1,20.0,5.0,25.0,20.0,80.0
two pointers,gemma,gen_2,19.0,5.0,24.0,20.8,79.2
two pointers,gemma,gen_3,19.0,5.0,24.0,20.8,79.2
two pointers,human,soln1,9.0,19.0,28.0,67.9,32.1
two pointers,human,soln2,6.0,22.0,28.0,78.6,21.4
two pointers,llama,gen_1,23.0,5.0,28.0,17.9,82.1
two pointers,llama,gen_2,20.0,4.0,24.0,16.7,83.3
two pointers,llama,gen_3,23.0,5.0,28.0,17.9,82.1
two pointers,qwen,gen_1,24.0,4.0,28.0,14.3,85.7
two pointers,qwen,gen_2,22.0,6.0,28.0,21.4,78.6
two pointers,qwen,gen_3,22.0,4.0,26.0,15.4,84.6
