model,gen,tag,compiled_count,total_files,compile_rate,has_tests_count,cppcheck_errors,cppcheck_warnings,cppcheck_cwe_count,clang_warnings,clang_errors
qwen,gen_1,dp,105,114,0.9210526315789473,98,7,3,40,397,37
qwen,gen_1,dsu,20,22,0.9090909090909091,18,0,1,12,113,1
qwen,gen_1,expression parsing,1,1,1.0,1,0,0,0,2,0
qwen,gen_1,fft,7,7,1.0,6,2,0,3,41,0
qwen,gen_1,flows,4,5,0.8,4,0,0,1,21,1
qwen,gen_1,games,14,14,1.0,11,0,0,5,56,0
qwen,gen_1,geometry,19,20,0.95,17,0,0,9,103,1
qwen,gen_1,graph matchings,5,6,0.8333333333333334,5,0,0,2,19,1
qwen,gen_1,graphs,57,65,0.8769230769230769,52,3,2,35,328,28
qwen,gen_1,greedy,128,134,0.9552238805970149,117,1,0,55,385,12
qwen,gen_1,hashing,4,5,0.8,4,0,0,4,16,0
qwen,gen_1,implementation,153,158,0.9683544303797469,146,0,0,54,432,13
qwen,gen_1,interactive,8,9,0.8888888888888888,7,0,1,5,47,2
qwen,gen_1,math,119,124,0.9596774193548387,109,3,0,41,412,7
qwen,gen_1,matrices,7,7,1.0,7,0,0,2,41,0
qwen,gen_1,meet-in-the-middle,1,1,1.0,1,0,0,0,3,0
qwen,gen_1,number theory,32,33,0.9696969696969697,29,2,1,6,114,2
qwen,gen_1,probabilities,11,14,0.7857142857142857,10,1,0,10,82,2
qwen,gen_1,shortest paths,10,14,0.7142857142857143,9,0,0,6,84,5
qwen,gen_1,sortings,55,61,0.9016393442622951,51,1,0,18,195,13
qwen,gen_1,string suffix structures,4,5,0.8,4,0,1,4,33,7
qwen,gen_1,strings,36,38,0.9473684210526315,34,0,1,16,144,7
qwen,gen_1,ternary search,6,6,1.0,6,0,0,5,30,0
qwen,gen_1,trees,34,40,0.85,33,4,2,20,212,28
qwen,gen_1,two pointers,25,28,0.8928571428571429,24,0,0,11,92,5
qwen,gen_2,*special,8,8,1.0,8,0,0,0,25,0
qwen,gen_2,2-sat,2,2,1.0,2,0,0,2,11,0
qwen,gen_2,binary search,49,55,0.8909090909090909,48,1,0,25,257,17
qwen,gen_2,bitmasks,26,28,0.9285714285714286,24,0,2,17,126,19
qwen,gen_2,brute force,89,93,0.956989247311828,85,0,0,44,379,15
qwen,gen_2,chinese remainder theorem,2,2,1.0,2,0,0,0,3,0
qwen,gen_2,combinatorics,23,26,0.8846153846153846,20,0,1,11,148,6
qwen,gen_2,constructive algorithms,75,81,0.9259259259259259,72,1,1,41,566,23
qwen,gen_2,data structures,66,77,0.8571428571428571,59,4,3,43,366,41
qwen,gen_2,dfs and similar,40,47,0.851063829787234,36,2,1,29,332,16
qwen,gen_2,divide and conquer,14,16,0.875,12,0,0,6,75,9
qwen,gen_2,dp,98,112,0.875,91,1,2,54,565,47
qwen,gen_2,dsu,16,22,0.7272727272727273,15,0,1,14,129,16
qwen,gen_2,expression parsing,1,1,1.0,1,0,0,1,6,0
qwen,gen_2,fft,7,7,1.0,6,0,0,4,43,0
qwen,gen_2,flows,3,5,0.6,3,0,0,3,20,13
qwen,gen_2,games,13,14,0.9285714285714286,10,0,0,6,70,1
qwen,gen_2,geometry,18,20,0.9,16,0,0,6,80,4
qwen,gen_2,graph matchings,4,6,0.6666666666666666,4,0,0,1,23,3
qwen,gen_2,graphs,47,63,0.746031746031746,43,2,6,48,409,52
qwen,gen_2,greedy,115,125,0.92,105,2,4,49,502,34
qwen,gen_2,hashing,2,4,0.5,2,0,0,0,17,5
qwen,gen_2,implementation,146,152,0.9605263157894737,138,0,0,62,621,10
qwen,gen_2,interactive,8,9,0.8888888888888888,7,0,0,1,79,1
qwen,gen_2,math,113,119,0.9495798319327731,104,1,0,39,473,9
qwen,gen_2,matrices,5,7,0.7142857142857143,5,1,0,3,34,6
qwen,gen_2,meet-in-the-middle,1,1,1.0,1,0,0,0,4,0
qwen,gen_2,number theory,28,32,0.875,26,0,0,6,120,6
qwen,gen_2,probabilities,10,13,0.7692307692307693,9,0,0,5,81,5
qwen,gen_2,shortest paths,11,13,0.8461538461538461,10,1,4,9,92,1
qwen,gen_2,sortings,57,61,0.9344262295081968,53,0,0,34,244,21
qwen,gen_2,string suffix structures,3,4,0.75,3,0,0,3,25,5
qwen,gen_2,strings,32,37,0.8648648648648649,31,1,0,21,195,9
qwen,gen_2,ternary search,5,6,0.8333333333333334,5,0,0,2,28,7
qwen,gen_2,trees,29,40,0.725,28,2,1,23,341,40
qwen,gen_2,two pointers,26,28,0.9285714285714286,25,1,0,10,111,10
qwen,gen_3,*special,7,7,1.0,7,0,0,0,25,0
qwen,gen_3,2-sat,2,2,1.0,2,0,0,1,11,0
qwen,gen_3,binary search,54,56,0.9642857142857143,51,2,0,21,233,2
qwen,gen_3,bitmasks,26,27,0.9629629629629629,24,0,0,11,103,3
qwen,gen_3,brute force,88,91,0.967032967032967,84,0,1,34,329,5
qwen,gen_3,chinese remainder theorem,2,2,1.0,2,0,0,0,4,0
qwen,gen_3,combinatorics,21,25,0.84,18,0,2,14,103,6
qwen,gen_3,constructive algorithms,70,78,0.8974358974358975,67,1,0,36,466,26
qwen,gen_3,data structures,71,78,0.9102564102564102,64,0,4,44,374,15
qwen,gen_3,dfs and similar,42,46,0.9130434782608695,38,0,0,32,266,8
qwen,gen_3,divide and conquer,15,15,1.0,13,0,0,9,85,0
qwen,gen_3,dp,98,105,0.9333333333333333,90,0,2,48,473,8
qwen,gen_3,dsu,19,22,0.8636363636363636,17,0,0,23,155,11
qwen,gen_3,expression parsing,1,1,1.0,1,0,0,0,2,0
qwen,gen_3,fft,5,6,0.8333333333333334,4,0,2,3,17,3
qwen,gen_3,flows,4,4,1.0,4,0,0,3,19,0
qwen,gen_3,games,14,14,1.0,11,0,0,4,81,0
qwen,gen_3,geometry,19,19,1.0,17,0,0,11,139,0
qwen,gen_3,graph matchings,5,5,1.0,5,0,0,3,18,0
qwen,gen_3,graphs,54,61,0.8852459016393442,50,1,0,43,393,31
qwen,gen_3,greedy,118,123,0.959349593495935,107,0,0,45,510,12
qwen,gen_3,hashing,5,5,1.0,5,0,0,2,18,0
qwen,gen_3,implementation,145,152,0.9539473684210527,137,1,0,62,608,17
qwen,gen_3,interactive,8,9,0.8888888888888888,7,0,0,3,69,1
qwen,gen_3,math,110,121,0.9090909090909091,102,0,2,44,521,24
qwen,gen_3,matrices,7,7,1.0,7,0,0,6,58,0
qwen,gen_3,meet-in-the-middle,1,1,1.0,1,0,0,0,7,0
qwen,gen_3,number theory,30,31,0.967741935483871,27,0,0,10,141,1
qwen,gen_3,probabilities,10,14,0.7142857142857143,9,0,0,8,94,4
qwen,gen_3,shortest paths,12,14,0.8571428571428571,12,1,0,10,102,10
qwen,gen_3,sortings,51,59,0.864406779661017,48,2,0,34,246,18
qwen,gen_3,string suffix structures,4,5,0.8,4,0,0,5,30,3
qwen,gen_3,strings,35,36,0.9722222222222222,33,0,0,13,141,3
qwen,gen_3,ternary search,5,5,1.0,5,0,0,4,32,0
qwen,gen_3,trees,33,39,0.8461538461538461,32,0,0,26,274,14
qwen,gen_3,two pointers,22,26,0.8461538461538461,21,2,0,11,109,4
