sample_id,model,generation,problem_key,cppcheck_cwes,sanitizer_cwes,cppcheck_only,sanitizer_only,both,static_confirmed_dynamically
gemma/gen_1/00000/0164_1397_C._Multiples_of_Length,gemma,gen_1,1397_C_Multiples_of_Length,,CWE-122,,CWE-122,,False
gemma/gen_1/00000/0164_1397_C._Multiples_of_Length.cpp,gemma,gen_1,1397_C_Multiples_of_Length,,CWE-122,,CWE-122,,False
gemma/gen_1/00000/0169_167_C._Wizards_and_Numbers,gemma,gen_1,167_C_Wizards_and_Numbers,CWE-369|CWE-570|CWE-571,,CWE-369|CWE-570|CWE-571,,,False
gemma/gen_1/00000/0170_209_B._Pixels,gemma,gen_1,209_B_Pixels,CWE-563,CWE-190,CWE-563,CWE-190,,False
gemma/gen_1/00000/0170_209_B._Pixels.cpp,gemma,gen_1,209_B_Pixels,,CWE-190,,CWE-190,,False
gemma/gen_1/00000/0172_25_D._Roads_not_only_in_Berland,gemma,gen_1,25_D_Roads_not_only_in_Berland,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0173_331_D2._Escaping_on_Beaveractor,gemma,gen_1,331_D2_Escaping_on_Beaveractor,CWE-398|CWE-570,,CWE-398|CWE-570,,,False
gemma/gen_1/00000/0175_378_C._Maze,gemma,gen_1,378_C_Maze,CWE-563,,CWE-563,,,False
gemma/gen_1/00000/0177_425_A._Sereja_and_Swaps,gemma,gen_1,425_A_Sereja_and_Swaps,CWE-398,CWE-190,CWE-398,CWE-190,,False
gemma/gen_1/00000/0177_425_A._Sereja_and_Swaps.cpp,gemma,gen_1,425_A_Sereja_and_Swaps,,CWE-190,,CWE-190,,False
gemma/gen_1/00000/0178_449_D._Jzzhu_and_Numbers,gemma,gen_1,449_D_Jzzhu_and_Numbers,CWE-398,CWE-190,CWE-398,CWE-190,,False
gemma/gen_1/00000/0178_449_D._Jzzhu_and_Numbers.cpp,gemma,gen_1,449_D_Jzzhu_and_Numbers,,CWE-190,,CWE-190,,False
gemma/gen_1/00000/0179_518_E._Arthur_and_Questions,gemma,gen_1,518_E_Arthur_and_Questions,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0180_544_E._Remembering_Strings,gemma,gen_1,544_E_Remembering_Strings,,CWE-190,,CWE-190,,False
gemma/gen_1/00000/0180_544_E._Remembering_Strings.cpp,gemma,gen_1,544_E_Remembering_Strings,,CWE-190,,CWE-190,,False
gemma/gen_1/00000/0181_571_B._Minimization,gemma,gen_1,571_B_Minimization,,CWE-190,,CWE-190,,False
gemma/gen_1/00000/0181_571_B._Minimization.cpp,gemma,gen_1,571_B_Minimization,,CWE-190,,CWE-190,,False
gemma/gen_1/00000/0182_592_E._BCPC,gemma,gen_1,592_E_BCPC,,CWE-190,,CWE-190,,False
gemma/gen_1/00000/0182_592_E._BCPC.cpp,gemma,gen_1,592_E_BCPC,,CWE-190,,CWE-190,,False
gemma/gen_1/00000/0183_633_H._Fibonacci-ish_II,gemma,gen_1,633_H_Fibonacci-ish_II,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0184_662_C._Binary_Table,gemma,gen_1,662_C_Binary_Table,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0185_687_A._NP-Hard_Problem,gemma,gen_1,687_A_NP-Hard_Problem,CWE-398|CWE-563,CWE-190,CWE-398|CWE-563,CWE-190,,False
gemma/gen_1/00000/0185_687_A._NP-Hard_Problem.cpp,gemma,gen_1,687_A_NP-Hard_Problem,,CWE-190,,CWE-190,,False
gemma/gen_1/00000/0186_709_E._Centroids,gemma,gen_1,709_E_Centroids,CWE-398|CWE-563,,CWE-398|CWE-563,,,False
gemma/gen_1/00000/0187_730_G._Car_Repair_Shop,gemma,gen_1,730_G_Car_Repair_Shop,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0188_754_B._Ilya_and_tic-tac-toe_game,gemma,gen_1,754_B_Ilya_and_tic-tac-toe_game,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0190_79_D._Password,gemma,gen_1,79_D_Password,CWE-398,CWE-190,CWE-398,CWE-190,,False
gemma/gen_1/00000/0190_79_D._Password.cpp,gemma,gen_1,79_D_Password,,CWE-190,,CWE-190,,False
gemma/gen_1/00000/0192_846_B._Math_Show,gemma,gen_1,846_B_Math_Show,CWE-563,CWE-190,CWE-563,CWE-190,,False
gemma/gen_1/00000/0192_846_B._Math_Show.cpp,gemma,gen_1,846_B_Math_Show,,CWE-190,,CWE-190,,False
gemma/gen_1/00000/0193_867_D._Gotta_Go_Fast,gemma,gen_1,867_D_Gotta_Go_Fast,CWE-563,,CWE-563,,,False
gemma/gen_1/00000/0194_893_A._Chess_For_Three,gemma,gen_1,893_A_Chess_For_Three,CWE-563,,CWE-563,,,False
gemma/gen_1/00000/0196_962_F._Simple_Cycles_Edges,gemma,gen_1,962_F_Simple_Cycles_Edges,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0198_p02610_AIsing_Programming_Contest_2020_-_Camel_Train,gemma,gen_1,p02610_AIsing_Programming_Contest_2020_-_Camel_Train,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0200_p02876_AtCoder_Grand_Contest_040_-_Balance_Beam,gemma,gen_1,p02876_AtCoder_Grand_Contest_040_-_Balance_Beam,CWE-398|CWE-563,,CWE-398|CWE-563,,,False
gemma/gen_1/00000/0201_p03010_diverta_2019_Programming_Contest_2_-_Diverta_City,gemma,gen_1,p03010_diverta_2019_Programming_Contest_2_-_Diverta_City,CWE-563,,CWE-563,,,False
gemma/gen_1/00000/0203_p03294_AtCoder_Beginner_Contest_103_-_Modulo_Summation,gemma,gen_1,p03294_AtCoder_Beginner_Contest_103_-_Modulo_Summation,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0211_p00676_KND_is_So_Sexy,gemma,gen_1,p00676_KND_is_So_Sexy,CWE-398|CWE-563|CWE-628,,CWE-398|CWE-563|CWE-628,,,False
gemma/gen_1/00000/0212_p00819_Unreliable_Message,gemma,gen_1,p00819_Unreliable_Message,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0214_p01219_Private_Teacher,gemma,gen_1,p01219_Private_Teacher,CWE-398,,CWE-398,,,False
